row_info,upt,vrm,vrh,voms
5 digit NTD ID,50005.0,50005.0,50005.0,50005.0
4 digit NTD ID,5005,5005,5005,5005
Agency,City of Madison,City of Madison,City of Madison,City of Madison
Active,Active,Active,Active,Active
Reporter Type,Full Reporter,Full Reporter,Full Reporter,Full Reporter
UZA,92.0,92.0,92.0,92.0
UZA Name,"Madison, WI","Madison, WI","Madison, WI","Madison, WI"
Modes,MB,MB,MB,MB
TOS,DO,DO,DO,DO
JAN02,865836.0,390925.0,31191.0,166.0
FEB02,1050347.0,370008.0,29546.0,166.0
MAR02,963482.0,390548.0,31196.0,166.0
APR02,1029092.0,402701.0,32060.0,166.0
MAY02,855918.0,398654.0,31534.0,166.0
JUN02,624723.0,345704.0,28004.0,166.0
JUL02,607808.0,353925.0,28568.0,166.0
AUG02,667377.0,368671.0,29692.0,166.0
SEP02,1024708.0,377829.0,29838.0,166.0
OCT02,1226392.0,414570.0,32723.0,166.0
NOV02,988042.0,372693.0,29356.0,166.0
DEC02,887298.0,374730.0,29429.0,166.0
JAN03,936445.0,396981.0,31068.0,167.0
FEB03,1100676.0,368333.0,28988.0,167.0
MAR03,1061166.0,394628.0,30921.0,167.0
APR03,1030032.0,389262.0,30813.0,167.0
MAY03,859997.0,384956.0,30012.0,167.0
JUN03,614850.0,350243.0,27923.0,120.0
JUL03,605111.0,348814.0,27746.0,120.0
AUG03,573030.0,344915.0,27490.0,120.0
SEP03,1065881.0,387877.0,30626.0,167.0
OCT03,1177974.0,414122.0,32657.0,167.0
NOV03,1016353.0,362292.0,28582.0,167.0
DEC03,892610.0,376816.0,29602.0,167.0
JAN04,898093.0,383916.0,29900.0,167.0
FEB04,1124417.0,384536.0,30127.0,167.0
MAR04,1130633.0,425520.0,33192.0,167.0
APR04,1039883.0,402122.0,31524.0,167.0
MAY04,824571.0,380164.0,29482.0,167.0
JUN04,674055.0,375448.0,29090.0,167.0
JUL04,603195.0,361250.0,28182.0,125.0
AUG04,577986.0,371809.0,29001.0,125.0
SEP04,1064175.0,398321.0,31492.0,167.0
OCT04,1089722.0,405706.0,32056.0,167.0
NOV04,1043753.0,393575.0,31076.0,167.0
DEC04,891862.0,404447.0,31760.0,167.0
JAN05,908041.0,388736.0,30207.0,167.0
FEB05,1103864.0,378012.0,29602.0,167.0
MAR05,1081452.0,415449.0,32457.0,167.0
APR05,1081774.0,398385.0,31142.0,167.0
MAY05,841310.0,386799.0,30008.0,167.0
JUN05,691734.0,375140.0,29068.0,167.0
JUL05,647942.0,352619.0,27581.0,121.0
AUG05,658233.0,383120.0,29838.0,121.0
SEP05,1150617.0,397357.0,31105.0,167.0
OCT05,1176126.0,408249.0,31903.0,167.0
NOV05,1115398.0,394602.0,30826.0,167.0
DEC05,1021480.0,393612.0,30552.0,167.0
JAN06,1015533.0,391283.0,30251.0,167.0
FEB06,1149708.0,381510.0,29682.0,167.0
MAR06,1185534.0,423139.0,32799.0,167.0
APR06,1083645.0,392113.0,30443.0,167.0
MAY06,952273.0,403334.0,31069.0,167.0
JUN06,717159.0,377672.0,29061.0,167.0
JUL06,652702.0,356223.0,27672.0,119.0
AUG06,686778.0,385657.0,29943.0,119.0
SEP06,1091200.0,387767.0,30284.0,167.0
OCT06,1270254.0,418687.0,32749.0,167.0
NOV06,1186367.0,392298.0,30692.0,167.0
DEC06,1038442.0,387578.0,30190.0,167.0
JAN07,987020.0,392113.0,30397.0,167.0
FEB07,1227229.0,379897.0,29743.0,167.0
MAR07,1307864.0,420999.0,32814.0,167.0
APR07,1051145.0,389570.0,30319.0,167.0
MAY07,1026690.0,408759.0,31644.0,167.0
JUN07,781606.0,371024.0,28793.0,167.0
JUL07,728450.0,359440.0,27751.0,124.0
AUG07,754700.0,377975.0,29188.0,124.0
SEP07,1183918.0,387020.0,30147.0,167.0
OCT07,1364591.0,435792.0,33912.0,167.0
NOV07,1221196.0,395767.0,30933.0,167.0
DEC07,1036092.0,389461.0,30287.0,167.0
JAN08,1053552.0,401424.0,30997.0,167.0
FEB08,1323109.0,387200.0,30202.0,167.0
MAR08,1175384.0,402327.0,31305.0,167.0
APR08,1308172.0,410481.0,32070.0,167.0
MAY08,1045194.0,402795.0,31134.0,167.0
JUN08,827119.0,370637.0,28469.0,167.0
JUL08,802658.0,369876.0,28541.0,121.0
AUG08,756844.0,366637.0,28377.0,121.0
SEP08,1299868.0,402724.0,31437.0,167.0
OCT08,1458221.0,428641.0,33849.0,167.0
NOV08,1254879.0,368084.0,29119.0,167.0
DEC08,1128149.0,395627.0,31238.0,167.0
JAN09,1110902.0,381915.0,29996.0,167.0
FEB09,1374901.0,380995.0,30125.0,167.0
MAR09,1346535.0,414535.0,32653.0,167.0
APR09,1330250.0,406481.0,32231.0,167.0
MAY09,1029641.0,383004.0,30116.0,167.0
JUN09,818666.0,376320.0,29480.0,167.0
JUL09,757836.0,375151.0,29527.0,126.0
AUG09,721186.0,366480.0,28997.0,126.0
SEP09,1321016.0,406534.0,32466.0,167.0
OCT09,1440625.0,428376.0,34250.0,167.0
NOV09,1253890.0,386612.0,30884.0,167.0
DEC09,1072806.0,392216.0,31286.0,167.0
JAN10,1115639.0,412864.0,32605.0,167.0
FEB10,1351196.0,390432.0,31160.0,167.0
MAR10,1387249.0,437307.0,34901.0,167.0
APR10,1253197.0,419333.0,33347.0,167.0
MAY10,1030613.0,395308.0,31312.0,167.0
JUN10,832015.0,383819.0,29773.0,167.0
JUL10,775055.0,368958.0,28711.0,119.0
AUG10,775609.0,386192.0,30628.0,119.0
SEP10,1276137.0,412641.0,33028.0,167.0
OCT10,1321002.0,418652.0,33511.0,167.0
NOV10,1296729.0,398617.0,31903.0,167.0
DEC10,1172579.0,416700.0,33194.0,167.0
JAN11,1253477.0,395211.0,31382.0,168.0
FEB11,1380899.0,383569.0,30695.0,168.0
MAR11,1503161.0,436474.0,34779.0,168.0
APR11,1277710.0,409032.0,32704.0,168.0
MAY11,1108376.0,405869.0,32184.0,168.0
JUN11,913952.0,385732.0,30476.0,129.0
JUL11,790556.0,362636.0,28698.0,129.0
AUG11,857759.0,394132.0,31270.0,168.0
SEP11,1461754.0,412705.0,33008.0,170.0
OCT11,1514430.0,418072.0,33354.0,170.0
NOV11,1459797.0,400289.0,31907.0,170.0
DEC11,1274952.0,412676.0,32830.0,170.0
JAN12,1151137.0,394403.0,31276.0,174.0
FEB12,1533573.0,415803.0,32973.0,174.0
MAR12,1477089.0,442085.0,35058.0,174.0
APR12,1252594.0,404635.0,32088.0,174.0
MAY12,1233673.0,431683.0,34233.0,174.0
JUN12,913552.0,369322.0,29287.0,174.0
JUL12,873433.0,360758.0,28608.0,128.0
AUG12,892658.0,384276.0,30473.0,128.0
SEP12,1287080.0,400767.0,31781.0,175.0
OCT12,1537433.0,452302.0,35868.0,175.0
NOV12,1384960.0,412385.0,32702.0,175.0
DEC12,1057505.0,354446.0,28108.0,175.0
JAN13,1241488.0,405974.0,31959.0,175.0
FEB13,1489845.0,393100.0,31221.0,175.0
MAR13,1399352.0,412073.0,32663.0,175.0
APR13,1316384.0,429468.0,34069.0,175.0
MAY13,1229127.0,425905.0,33595.0,175.0
JUN13,898231.0,373001.0,29287.0,175.0
JUL13,893001.0,384004.0,30240.0,175.0
AUG13,879868.0,394030.0,31235.0,175.0
SEP13,1312062.0,417941.0,33564.0,175.0
OCT13,1503635.0,459073.0,36922.0,175.0
NOV13,1353930.0,406234.0,32603.0,175.0
DEC13,1223813.0,421208.0,33742.0,175.0
JAN14,1226695.0,420085.0,33530.0,178.0
FEB14,1557113.0,406942.0,32701.0,179.0
MAR14,1470020.0,433420.0,34696.0,179.0
APR14,1471036.0,436282.0,35120.0,179.0
MAY14,1224977.0,428038.0,34185.0,179.0
JUN14,947524.0,396431.0,31560.0,179.0
JUL14,927231.0,398384.0,31814.0,179.0
AUG14,836201.0,396450.0,31720.0,179.0
SEP14,1402379.0,432249.0,34658.0,179.0
OCT14,1588507.0,464246.0,37237.0,179.0
NOV14,1345389.0,395028.0,31640.0,179.0
DEC14,1226889.0,432452.0,34605.0,179.0
JAN15,1203873.0,423533.0,33760.0,179.0
FEB15,1486279.0,408771.0,32970.0,179.0
MAR15,1478095.0,445783.0,35739.0,179.0
APR15,1344282.0,437837.0,35108.0,179.0
MAY15,1130796.0,418614.0,33369.0,179.0
JUN15,903186.0,412316.0,32795.0,179.0
JUL15,900740.0,414660.0,33081.0,179.0
AUG15,813058.0,400722.0,32061.0,179.0
SEP15,1338533.0,427813.0,34347.0,182.0
OCT15,1410801.0,448105.0,35973.0,182.0
NOV15,1231309.0,402616.0,32300.0,182.0
DEC15,1117309.0,429988.0,34299.0,182.0
JAN16,1126100.0,405481.0,32325.0,182.0
FEB16,1398489.0,421619.0,33872.0,182.0
MAR16,1255876.0,446775.0,35847.0,182.0
APR16,1257823.0,428532.0,34412.0,182.0
MAY16,1022718.0,425090.0,33898.0,182.0
JUN16,847429.0,405811.0,32319.0,182.0
JUL16,777758.0,382079.0,30456.0,182.0
AUG16,811545.0,415260.0,33191.0,182.0
SEP16,1257821.0,431873.0,34545.0,182.0
OCT16,1304654.0,440752.0,35244.0,182.0
NOV16,1161149.0,419079.0,33506.0,182.0
DEC16,1083929.0,428565.0,34210.0,182.0
JAN17,1105684.0,421179.0,33444.0,182.0
FEB17,1260263.0,408585.0,32692.0,182.0
MAR17,1330069.0,457952.0,36550.0,182.0
APR17,1181920.0,417025.0,33379.0,182.0
MAY17,1053067.0,440872.0,35013.0,182.0
JUN17,801510.0,409147.0,32460.0,182.0
JUL17,753805.0,387783.0,30768.0,182.0
AUG17,799340.0,420615.0,33502.0,182.0
SEP17,1116085.0,420955.0,33598.0,182.0
OCT17,1181518.0,451579.0,36078.0,182.0
NOV17,1208373.0,421572.0,33633.0,182.0
DEC17,1025443.0,417746.0,33278.0,182.0
JAN18,1063612.0,429959.0,34058.0,182.0
FEB18,1310028.0,409503.0,32718.0,182.0
MAR18,1222362.0,444187.0,35381.0,182.0
APR18,1300014.0,435950.0,34780.0,182.0
MAY18,1038121.0,443340.0,35099.0,182.0
JUN18,792640.0,403859.0,31923.0,182.0
JUL18,772623.0,400657.0,31712.0,182.0
AUG18,800997.0,424499.0,33756.0,182.0
SEP18,1208904.0,393747.0,32953.0,182.0
OCT18,1445019.0,441859.0,37148.0,182.0
NOV18,1288499.0,403900.0,33795.0,182.0
DEC18,987879.0,400726.0,33087.0,182.0
JAN19,924107.0,420086.0,33384.0,182.0
FEB19,1284120.0,409417.0,32748.0,182.0
MAR19,1140434.0,431595.0,34431.0,182.0
APR19,1264676.0,444812.0,35591.0,182.0
MAY19,1022403.0,440301.0,34921.0,182.0
JUN19,774681.0,394153.0,31199.0,182.0
JUL19,801422.0,407431.0,32356.0,182.0
AUG19,780326.0,414400.0,32968.0,182.0
SEP19,1238405.0,423381.0,33687.0,183.0
OCT19,1419502.0,455091.0,36292.0,183.0
NOV19,1229313.0,413234.0,32686.0,183.0
DEC19,977125.0,418855.0,33307.0,183.0
JAN20,1055049.0,430302.0,34014.0,182.0
FEB20,1278838.0,486731.0,33233.0,182.0
MAR20,689277.0,435183.0,29896.0,182.0
APR20,110054.0,251850.0,19339.0,55.0
MAY20,,,,
JUN20,,,,
JUL20,,,,
AUG20,,,,
