service_id,service_name,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
93_D24,December 24,0,0,0,0,0,0,0,20201004,20201128
93_D31,December 31,0,0,0,0,0,0,0,20201004,20201128
93_HOL,Holiday,0,0,0,0,0,0,0,20201004,20201128
93_HOL:R,Recess Holiday,0,0,0,0,0,0,0,20201004,20201128
93_MWK,Modified,0,0,0,0,0,0,0,20201004,20201128
93_MWK:R,Recess Modified,0,0,0,0,0,0,0,20201004,20201128
93_SAT,Saturday,0,0,0,0,0,1,0,20201004,20201128
93_SAT:L,Latenight Saturday,0,0,0,0,0,1,0,20201004,20201128
93_SAT:R,Recess Saturday,0,0,0,0,0,0,0,20201004,20201128
93_SAT:S,Standard Saturday,0,0,0,0,0,1,0,20201004,20201128
93_SUN,Sunday,0,0,0,0,0,0,1,20201004,20201128
93_SUN:L,Latenight Sunday,0,0,0,0,0,0,1,20201004,20201128
93_SUN:R,Recess Sunday,0,0,0,0,0,0,0,20201004,20201128
93_SUN:S,Standard Sunday,0,0,0,0,0,0,1,20201004,20201128
93_WKD,Weekday,1,1,1,1,1,0,0,20201004,20201128
93_WKD:L#6,Latenight Mon-Thu,1,1,1,1,0,0,0,20201004,20201128
93_WKD:L=6,Latenight Fri only,0,0,0,0,1,0,0,20201004,20201128
93_WKD:R,Recess Weekday,0,0,0,0,0,0,0,20201004,20201128
93_WKD:S,Standard Weekday,1,1,1,1,1,0,0,20201004,20201128
93_WKD:S#6,Standard Mon-Thu,1,1,1,1,0,0,0,20201004,20201128
93_WKD:S=6,Standard Fri only,0,0,0,0,1,0,0,20201004,20201128
94_D24,December 24,0,0,0,0,0,0,0,20201129,20210123
94_D31,December 31,0,0,0,0,0,0,0,20201129,20210123
94_HOL,Holiday,0,0,0,0,0,0,0,20201129,20210123
94_HOL:R,Recess Holiday,0,0,0,0,0,0,0,20201129,20210123
94_MWK,Modified,0,0,0,0,0,0,0,20201129,20210123
94_MWK:R,Recess Modified,0,0,0,0,0,0,0,20201129,20210123
94_SAT,Saturday,0,0,0,0,0,1,0,20201129,20210123
94_SAT:L,Latenight Saturday,0,0,0,0,0,0,0,20201129,20210123
94_SAT:R,Recess Saturday,0,0,0,0,0,1,0,20201129,20210123
94_SAT:S,Standard Saturday,0,0,0,0,0,0,0,20201129,20210123
94_SUN,Sunday,0,0,0,0,0,0,1,20201129,20210123
94_SUN:L,Latenight Sunday,0,0,0,0,0,0,0,20201129,20210123
94_SUN:R,Recess Sunday,0,0,0,0,0,0,1,20201129,20210123
94_SUN:S,Standard Sunday,0,0,0,0,0,0,0,20201129,20210123
94_WKD,Weekday,1,1,1,1,1,0,0,20201129,20210123
94_WKD:L#6,Latenight Mon-Thu,0,0,0,0,0,0,0,20201129,20210123
94_WKD:L=6,Latenight Fri only,0,0,0,0,0,0,0,20201129,20210123
94_WKD:R,Recess Weekday,1,1,1,1,1,0,0,20201129,20210123
94_WKD:S,Standard Weekday,0,0,0,0,0,0,0,20201129,20210123
94_WKD:S#6,Standard Mon-Thu,0,0,0,0,0,0,0,20201129,20210123
94_WKD:S=6,Standard Fri only,0,0,0,0,0,0,0,20201129,20210123